group,required,relative_path,exists,size_bytes,sha256
required_single_file,True,configs/models/milestone_4/kaggle_upload_set.yaml,True,2064,81d035f674cde64a06bb833f42461ab3e15251f71f024cac7926fc73feacc853
required_single_file,True,docs/milestone_4/kaggle_upload_set.md,True,1639,f506037bc7cb72179dec0e179925154c2a5e2ea98e6ade8cc8c81cc7f99b5900
required_single_file,True,configs/models/milestone_4/kaggle_compute_plan.yaml,True,3754,163b3b3a114298e12d5a1511803861fbc9b95c8a3c1f3d8874b183928af961f6
required_single_file,True,configs/models/milestone_4/experiment_protocol.yaml,True,3007,af11353695643d8465181361dccc6e9aa088a004add438c0ff8d87e8f49e0dd9
required_single_file,True,configs/models/milestone_4/class_contract.yaml,True,1229,6fbfd3f4921d13f4afa92abd20173fc1e899fc30a6087ee35728cd0e45447a0f
required_single_file,True,configs/models/milestone_4/evaluation_policy.yaml,True,2386,d4c6c789a6ace759edb43cd3e211bdfb6547f5f594d926a8b55f1c936655feff
required_single_file,True,configs/models/milestone_4/kaggle_training_policy.yaml,True,1654,b9e4dfa6bc2c51fab9ed5da360b0eb19b6ad2cde5b85d50634b1d0388865b99e
required_single_file,True,outputs/milestone_4/reports/milestone_3_handoff_validation.json,True,9113,601794296b1e341efccbf69755081bc7d1cdeb92a292196c897ca97c94417ddf
source_code,True,scripts/milestone_4/01_validate_milestone_3_handoff.py,True,15133,b53a495ef6b95a583c36ee3a4f770c0a75396d450ba062694f76911779656508
source_code,True,scripts/milestone_4/02_define_kaggle_upload_set.py,True,10754,59ed19d1dde65aea31f9b77ae0878f6ed50c5b704fa5a7cccb26597e391f1ed0
source_code,True,scripts/milestone_4/__init__.py,True,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
source_code,True,scripts/milestone_4/adapters/__init__.py,True,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
source_code,True,scripts/milestone_4/evaluation/__init__.py,True,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
source_code,True,scripts/milestone_4/kaggle/02_prepare_kaggle_training_package.py,True,8723,7ef4d98e285a1a597805211af64993c2fac9def693e7640983901f992e4fd762
source_code,True,scripts/milestone_4/kaggle/__init__.py,True,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
source_code,True,scripts/milestone_4/trainers/__init__.py,True,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
source_code,True,scripts/milestone_4/utilities/__init__.py,True,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
milestone_3_dataset_configs,True,configs/datasets/milestone_3/augmentation.yaml,True,2991,8efd33b34cadcfb69eba6716040b7f6c111984f35db5aea298230e5b4fbe0051
milestone_3_dataset_configs,True,configs/datasets/milestone_3/class_mapping.yaml,True,2346,57ffdc92f86ac6778667cd2986fb0e64bdb83d0ddc2fb77d15b244e7fa78adae
milestone_3_dataset_configs,True,configs/datasets/milestone_3/coco_paths.yaml,True,1429,60ad9bc65ac0fb1832a0768b471e55f594355cbc38316fe035ea031cd86536f4
milestone_3_dataset_configs,True,configs/datasets/milestone_3/dataset_registry.yaml,True,955,16857f946e81da5bb82980a0a886694de92b6674b8800753586ead6ceb744ccc
milestone_3_dataset_configs,True,configs/datasets/milestone_3/preprocessing.yaml,True,5718,33db4049adde93d8af722b17bece11826f5ca86ac0dd3b10c2c805a695fb0a3d
processed_images,True,data/processed/milestone_3/images/kitti/train/000000.png,True,268576,1131acfb53a036ef397f31f5328a1093cb822d58e7c78a2201f4846cc630a6f7
processed_images,True,data/processed/milestone_3/images/kitti/train/000001.png,True,219590,25561be82c55a415f38fdb06aa616c51b7a26b65924c614f5477266562e27a94
processed_images,True,data/processed/milestone_3/images/kitti/train/000002.png,True,220024,e815fe8f700864c460807904883dd3c2fc99e9ed0c13aab4b7110e377be492b5
processed_images,True,data/processed/milestone_3/images/kitti/train/000004.png,True,245253,8b1c52ffff1b50fb287cf556aaacfd84a2a48a8f89ad34e2fe41a1fe6367dab6
processed_images,True,data/processed/milestone_3/images/kitti/train/000006.png,True,224584,09bb33f632560d3e1aff50e99ed1c7b36686db37c96010e0947362c5a81b9b27
processed_images,True,data/processed/milestone_3/images/kitti/train/000007.png,True,241601,46e6da7c0c50d30cae8b4926586f8076d53802c43898560a3d1fc172ed6218f4
processed_images,True,data/processed/milestone_3/images/kitti/train/000008.png,True,263351,318d7db53fa79b90ab0a0c601b43668a0602935e920e1d8aac983a687eb74f86
processed_images,True,data/processed/milestone_3/images/kitti/train/000009.png,True,225408,986f5ba0aa3a9f5ac1f0dd18df44e105d41aed5bde0d1af95a2ec29072a15698
processed_images,True,data/processed/milestone_3/images/kitti/train/000011.png,True,252274,24ce7a5d903ff2bcd8deabc668ca697641d810dec1544760b0b15b963f041be5
processed_images,True,data/processed/milestone_3/images/kitti/train/000012.png,True,249195,066893f8d80a3a7d03da27c7ecf5ba38a6401db393c48ac6ea35179594d6c7ae
processed_images,True,data/processed/milestone_3/images/kitti/train/000013.png,True,288121,d864b32482757ec19ca39d87f4a384ae228e301e8422efe8df83d66a27c0e36f
processed_images,True,data/processed/milestone_3/images/kitti/train/000014.png,True,276276,c9bf0f325bae21540e31d91af58a8f59ff1dfc891d5b69f574c6da3e4f9888c3
processed_images,True,data/processed/milestone_3/images/kitti/train/000015.png,True,252801,4b7a04e22509c486536943b14c0f22ee7b8b1b08467df764542597e6c8e52268
processed_images,True,data/processed/milestone_3/images/kitti/train/000016.png,True,235151,433c0dca861b4425734edddf5bd09bd310d701cbd745779916d6576c0920e2ff
processed_images,True,data/processed/milestone_3/images/kitti/train/000017.png,True,250858,2e5aff88b651e0e801abde8f77deed025b9a24bfdc709ccaf861cc3901789a0b
processed_images,True,data/processed/milestone_3/images/kitti/train/000018.png,True,214729,c9d6ab55b590e22c64cef9570cb0eb5a948cad05b629aa5982ffff8e2c2dfd9d
processed_images,True,data/processed/milestone_3/images/kitti/train/000019.png,True,245996,6524fdf515e2d0bfa6b51a52144c6b3974b6cb064ab7431458fa636a6895f7e7
processed_images,True,data/processed/milestone_3/images/kitti/train/000021.png,True,246386,8872aa96953c77b9b19aaa221bfb51b9b116b2c2a23f034c48a630d9a7dc68b1
processed_images,True,data/processed/milestone_3/images/kitti/train/000022.png,True,276914,e49c115239c7265fbefe815fed6ebd68368b2ed39f1b9b01af81a63cc7ac624e
processed_images,True,data/processed/milestone_3/images/kitti/train/000023.png,True,219247,4536780fb28acd1224933986c1120ef3de45feadfeda9f298cdecfcea85fe7b9
processed_images,True,data/processed/milestone_3/images/kitti/train/000026.png,True,246786,75ca84f0daaeda452c7d982fff461c4a010374877c851d1de16cbddea1f9fc4e
processed_images,True,data/processed/milestone_3/images/kitti/train/000027.png,True,185033,89790df17babee2c9d230ee111dd16c73de37727f93d737bc91fa4c3bc20077e
processed_images,True,data/processed/milestone_3/images/kitti/train/000028.png,True,267638,d3534fbffd36eb0cba8a85de4b3fda183288ea1466f9f9deecc238598bce7cdb
processed_images,True,data/processed/milestone_3/images/kitti/train/000029.png,True,232254,3f524bcde83335b0c0cacdc47abe6ed634d45c4730bdde4a30eec73fb314fdf0
processed_images,True,data/processed/milestone_3/images/kitti/train/000030.png,True,251960,a48cbe1dcc59768ee4e43bcedbfde75eed66060de1a77b1054f7442f8bc9b7d4
processed_images,True,data/processed/milestone_3/images/kitti/train/000031.png,True,258782,e1af9244c6870f41245e863695597ef9ffea12a9a4426973bfbdc2f092cb4b6b
processed_images,True,data/processed/milestone_3/images/kitti/train/000033.png,True,206106,9826bc2e88239c22d0976dc94c3143c8bbf997819bee0a88de45d558471f0339
processed_images,True,data/processed/milestone_3/images/kitti/train/000034.png,True,272478,8216409d4a73103fa3a24ad50ff470b8d2e949a25ca67237b55e5cb009c32f21
processed_images,True,data/processed/milestone_3/images/kitti/train/000036.png,True,202520,a1d38d5805390c6943a94d21f72c4890111dae5f2f31840ee1beb497b5979d4c
processed_images,True,data/processed/milestone_3/images/kitti/train/000038.png,True,247302,841a7e30dce75df1a38484b1306b8675eaf325476d02bc3fa5a091f633a8f723
processed_images,True,data/processed/milestone_3/images/kitti/train/000039.png,True,206687,431904a61af24422550da3b728b3782ac8838fc2f8ed0c8064387be803c10d5c
processed_images,True,data/processed/milestone_3/images/kitti/train/000040.png,True,260121,20b7dd044677f9ff30325456f52c082221d2be2f44a72a0a1a7299f7e05cb158
processed_images,True,data/processed/milestone_3/images/kitti/train/000041.png,True,257234,864617197c737661a57e49114058fefd600e6c65707faa0ac5b133ac30ae23ab
processed_images,True,data/processed/milestone_3/images/kitti/train/000043.png,True,245246,a6c19ba0f34c329aabb3c2d38428b5c074e24749fb767324b53f0860e57eac53
processed_images,True,data/processed/milestone_3/images/kitti/train/000044.png,True,282927,baeff14113dda567f587c01a165b5a1fb279674bc31f7719fe50ed67201eb0cb
processed_images,True,data/processed/milestone_3/images/kitti/train/000045.png,True,247659,def16565534009a07ae3ac0b497da5d6c14621dd71c380034093aef348651673
