partition,global_image_id,image_filename,image_relative_path,label_filename,label_relative_path,annotation_count,is_empty,label_size_bytes,label_sha256
kitti_train,1,000000.png,data/processed/milestone_3/images/kitti/train/000000.png,000000.txt,data/processed/milestone_3/annotations/yolo/kitti/train/000000.txt,1,False,54,e9fc4eb5bbba999028aa5e31895807259bd018228dbb77d226631a7c9ab71cfb
kitti_train,2,000001.png,data/processed/milestone_3/images/kitti/train/000001.png,000001.txt,data/processed/milestone_3/annotations/yolo/kitti/train/000001.txt,3,False,162,597dac0e80d2473ef08f20fae1cde828ccc8b10a599bd17f69755361b29a6d37
kitti_train,3,000002.png,data/processed/milestone_3/images/kitti/train/000002.png,000002.txt,data/processed/milestone_3/annotations/yolo/kitti/train/000002.txt,1,False,54,4beaedbcaf7adc381cd7892781efd60dc9cd7f0587f48ba93a645b36291c0eaf
kitti_train,5,000004.png,data/processed/milestone_3/images/kitti/train/000004.png,000004.txt,data/processed/milestone_3/annotations/yolo/kitti/train/000004.txt,2,False,108,9888607ec9b9fb3a5c263c15cf70a5c44cb935390d36bcfb588af9df40b7af5a
kitti_train,7,000006.png,data/processed/milestone_3/images/kitti/train/000006.png,000006.txt,data/processed/milestone_3/annotations/yolo/kitti/train/000006.txt,4,False,216,09b89e52b88e3d114a4cf5a2e3895a4d326f1732fe907b395afd85f00fe54135
kitti_train,8,000007.png,data/processed/milestone_3/images/kitti/train/000007.png,000007.txt,data/processed/milestone_3/annotations/yolo/kitti/train/000007.txt,4,False,216,fed1658fe631cf58930b8579e40ae5571ffdfb43efea859c8b3d76b1992efd42
kitti_train,9,000008.png,data/processed/milestone_3/images/kitti/train/000008.png,000008.txt,data/processed/milestone_3/annotations/yolo/kitti/train/000008.txt,6,False,324,610a72e37bf9276930d45266bb2905b8b399ffb78ac2a4011916d343e850ba94
kitti_train,10,000009.png,data/processed/milestone_3/images/kitti/train/000009.png,000009.txt,data/processed/milestone_3/annotations/yolo/kitti/train/000009.txt,3,False,162,37b93af09540f8ea70287a4de032a2537f55994c37ccd528c841765e69fdff4b
kitti_train,12,000011.png,data/processed/milestone_3/images/kitti/train/000011.png,000011.txt,data/processed/milestone_3/annotations/yolo/kitti/train/000011.txt,6,False,324,988b3f007e464cb7d9377a2b29081d38330b61c8896b1f29a406cd4442b01b3d
kitti_train,13,000012.png,data/processed/milestone_3/images/kitti/train/000012.png,000012.txt,data/processed/milestone_3/annotations/yolo/kitti/train/000012.txt,2,False,108,e58bc16421ef9e09d62c2d92918e829ba2d535db9ab1b10401177ab808b6d9a6
